Species,Weight,Length1,Length2,Length3,Height,Width
Pike,950,48.3,51.7,55.1,8.9262,6.1712
Roach,69,16.5,18.2,20.3,5.2983,2.8217
Roach,120,19.4,21,23.7,6.1146,3.2943
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852
Parkki,120,17.5,19,21.3,8.3922,2.9181
Perch,650,36.5,39,41.4,11.1366,6.003
Bream,363,26.3,29,33.5,12.73,4.4555
Bream,975,37.4,41,45.9,18.6354,6.7473
Bream,600,29.4,32,37.2,15.438,5.58
Perch,32,12.5,13.7,14.7,3.528,1.9992
Perch,556,32,34.5,36.5,10.2565,6.3875
Perch,150,20.5,22.5,24,6.792,3.624
Perch,115,19,21,22.5,5.9175,3.3075
Perch,820,36.6,39,41.3,12.4313,7.3514
Bream,685,31.4,34,39.2,15.9936,5.3704
Perch,820,37.1,40,42.5,11.135,6.63
Bream,650,31,33.5,38.7,14.4738,5.7276
Bream,1000,33.5,37,42.6,18.957,6.603
Bream,290,24,26.3,31.2,12.48,4.3056
Bream,450,26.8,29.7,34.7,13.6024,4.9274
Roach,78,17.5,18.8,21.2,5.5756,2.9044
Pike,510,40,42.5,45.5,6.825,4.459
Perch,85,18.2,20,21,5.082,2.772
Perch,900,36.5,39,41.4,11.1366,7.4934
Perch,250,25.9,28,29.4,7.8204,4.2042
Pike,430,35.5,38,40.5,7.29,4.5765
Parkki,150,18.4,20,22.4,8.8928,3.2928
Perch,51.5,15,16.2,17.2,4.5924,2.6316
Smelt,7,10.1,10.6,11.6,1.7284,1.1484
Bream,680,31.8,35,40.6,15.4686,6.1306
Bream,500,28.5,30.7,36.2,14.2266,4.9594
Bream,450,27.6,30,35.1,14.0049,4.8438
Bream,925,36.2,39.5,45.3,18.7542,6.7497
Perch,250,25.4,27.5,28.9,7.2828,4.5662
Perch,700,34,36,38.3,10.6091,6.7408
Roach,169,22,24,27.2,7.5344,3.8352
Bream,500,28.7,31,36.2,14.3714,4.8146
Bream,920,35,38.5,44.1,18.0369,6.3063
